rental_id,customer_id,movie_id,date_rented,date_watched,date_expires,rental_amount,credit_card_number,credit_card_type,customer_rating
1,1071,1164,2024-08-14,2024-08-20,2024-08-21,7.47,4380670121636626,VS,5
2,563,223,2024-09-05,2024-09-07,2024-09-08,9.82,5356701989223889,MC,3
3,441,929,2025-03-21,2025-03-26,2025-03-27,5.00,5176198265034611,MC,5
4,423,1019,2024-12-18,2024-12-22,2024-12-23,7.54,4854799220534044,VS,2
5,352,307,2024-05-15,2024-05-16,2024-05-17,5.69,4899227354979999,VS,4
6,959,913,2024-04-01,2024-04-05,2024-04-06,7.72,348751638059274,AX,1
7,965,629,2024-07-26,2024-07-28,2024-07-29,6.87,5354406922132551,MC,4
8,1072,325,2025-04-09,2025-04-15,2025-04-16,7.01,4282271422456378,VS,2
9,1090,903,2025-02-07,2025-02-10,2025-02-11,4.35,4327116982210510,VS,5
10,51,841,2025-01-09,2025-01-11,2025-01-12,3.79,4657112098697229,VS,2
11,1175,793,2024-03-10,2024-03-15,2024-03-16,11.17,5244302516549597,MC,4
12,171,392,2025-06-06,2025-06-10,2025-06-11,3.42,4122141189785844,VS,1
13,1083,278,2024-10-30,2024-11-01,2024-11-02,11.09,5520279726601409,MC,3
14,249,939,2024-07-04,2024-07-08,2024-07-09,9.10,4128044676251345,VS,4
15,10,370,2024-03-21,2024-03-25,2024-03-26,7.81,4742545477975186,VS,5
16,261,743,2025-06-03,2025-06-07,2025-06-08,7.96,5543420694394160,MC,5
17,371,1,2024-11-09,2024-11-10,2024-11-11,7.20,5381388131599453,MC,4
18,667,1164,2024-02-03,2024-02-05,2024-02-06,5.56,4863868089963890,VS,2
19,607,615,2024-01-12,2024-01-14,2024-01-15,3.87,341829621222045,AX,2
20,712,204,2024-06-28,2024-06-29,2024-06-30,3.44,342653943796408,AX,3
21,357,801,2024-04-12,2024-04-14,2024-04-15,6.19,5210655500242758,MC,1
22,942,336,2025-02-10,2025-02-14,2025-02-15,8.21,4312617933675768,VS,3
23,151,717,2024-07-14,2024-07-18,2024-07-19,9.66,5398384958684863,MC,4
24,1111,1064,2024-07-12,2024-07-18,2024-07-19,6.17,342411594220988,AX,3
25,418,1161,2024-03-05,2024-03-07,2024-03-08,8.51,344953244835744,AX,3
26,708,666,2024-07-01,2024-07-03,2024-07-04,7.62,370006643629514,AX,3
27,299,309,2024-05-09,2024-05-12,2024-05-13,4.45,5557875898176647,MC,4
28,352,413,2024-09-21,2024-09-23,2024-09-24,7.91,4394007741608665,VS,1
29,786,609,2025-05-18,2025-05-19,2025-05-20,6.92,370154165593638,AX,2
30,259,779,2024-01-01,2024-01-06,2024-01-07,10.49,5247495304196420,MC,5
31,290,139,2024-11-24,2024-11-28,2024-11-29,6.67,4772093496974697,VS,5
32,1122,393,2024-04-24,2024-04-25,2024-04-26,5.74,5349474618009168,MC,4
33,142,977,2024-08-20,2024-08-26,2024-08-27,3.93,5123691804092677,MC,4
34,175,264,2024-07-24,2024-07-26,2024-07-27,7.43,348118142622835,AX,2
35,193,380,2024-04-29,2024-05-02,2024-05-03,7.01,349590989867231,AX,1
36,991,772,2024-06-29,2024-07-01,2024-07-02,8.31,4259572934598532,VS,4
37,668,492,2024-08-26,2024-08-27,2024-08-28,8.58,4813903064623133,VS,3
38,594,1047,2024-10-07,2024-10-12,2024-10-13,6.77,5280068447099327,MC,5
39,863,83,2025-01-11,2025-01-15,2025-01-16,8.23,4896884740907794,VS,2
40,471,478,2024-04-07,2024-04-09,2024-04-10,6.41,5156710878841179,MC,3
41,978,804,2025-04-22,2025-04-27,2025-04-28,6.41,4439853617692960,VS,2
42,669,662,2024-07-25,2024-07-30,2024-07-31,9.23,4990696724189304,VS,5
43,402,709,2025-01-05,2025-01-07,2025-01-08,8.87,4973483875099918,VS,1
44,659,319,2024-09-14,2024-09-16,2024-09-17,7.27,376122219533754,AX,1
45,944,531,2024-12-06,2024-12-09,2024-12-10,5.29,4150963640173306,VS,5
46,117,939,2024-04-08,2024-04-09,2024-04-10,9.28,5375490833583350,MC,1
47,570,41,2025-04-19,2025-04-24,2025-04-25,7.84,5310561888091341,MC,1
48,585,555,2024-09-06,2024-09-08,2024-09-09,5.89,379020701445752,AX,1
49,324,23,2025-02-11,2025-02-17,2025-02-18,3.36,343800794836793,AX,3
50,266,131,2024-07-09,2024-07-15,2024-07-16,11.82,5170619056365523,MC,3
51,1179,633,2024-07-24,2024-07-28,2024-07-29,7.76,5124206854289735,MC,2
52,412,33,2024-06-25,2024-06-26,2024-06-27,5.75,341771370362877,AX,1
53,1160,348,2024-11-02,2024-11-05,2024-11-06,6.61,5201236277744564,MC,3
54,291,114,2025-01-26,2025-02-01,2025-02-02,7.84,371520232335744,AX,5
55,22,439,2024-06-30,2024-07-05,2024-07-06,6.51,344577917681713,AX,4
56,626,427,2025-01-10,2025-01-14,2025-01-15,7.02,4670772907456881,VS,2
57,927,384,2024-01-21,2024-01-24,2024-01-25,5.05,4652442985258724,VS,1
58,439,869,2024-02-25,2024-02-27,2024-02-28,5.75,5480254196465388,MC,4
59,801,949,2024-06-08,2024-06-12,2024-06-13,6.31,4061104486484319,VS,2
60,367,693,2025-04-30,2025-05-03,2025-05-04,6.30,5417670391991589,MC,5
61,206,551,2024-01-19,2024-01-20,2024-01-21,4.74,4025829123648893,VS,3
62,56,1020,2024-02-26,2024-02-28,2024-02-29,5.83,344969925602062,AX,3
63,1104,645,2024-10-18,2024-10-24,2024-10-25,8.20,4534909690554950,VS,1
64,1151,916,2024-01-21,2024-01-25,2024-01-26,8.75,4038275729771251,VS,1
65,87,377,2024-01-25,2024-01-30,2024-01-31,4.64,5451990898195948,MC,3
66,868,89,2024-10-02,2024-10-04,2024-10-05,6.76,4800005514588179,VS,3
67,389,976,2025-03-19,2025-03-23,2025-03-24,11.05,5471684415770480,MC,2
68,358,825,2024-06-15,2024-06-19,2024-06-20,6.99,4805674111796141,VS,4
69,328,945,2024-11-28,2024-12-03,2024-12-04,7.59,5303000559011915,MC,4
70,584,1055,2024-02-14,2024-02-20,2024-02-21,3.22,373133539813582,AX,2
71,294,58,2024-07-05,2024-07-10,2024-07-11,5.27,5326542213250877,MC,1
72,923,915,2024-12-01,2024-12-03,2024-12-04,5.42,5253342021959062,MC,5
73,415,557,2025-03-01,2025-03-06,2025-03-07,5.90,4721322075367559,VS,5
74,820,686,2024-04-02,2024-04-04,2024-04-05,7.09,4732800700383885,VS,1
75,978,379,2024-09-05,2024-09-07,2024-09-08,6.47,5408348590566141,MC,2
76,16,993,2024-08-13,2024-08-16,2024-08-17,6.55,4240754191682499,VS,1
77,507,642,2024-02-20,2024-02-24,2024-02-25,9.02,5244756616668713,MC,3
78,1012,152,2025-06-24,2025-06-28,2025-06-29,6.51,4556041754158061,VS,3
79,209,617,2025-05-20,2025-05-22,2025-05-23,5.31,4110139518645060,VS,1
80,461,102,2024-11-15,2024-11-17,2024-11-18,10.24,4336479370618686,VS,5
81,964,596,2025-03-15,2025-03-20,2025-03-21,3.38,4036016838062434,VS,5
82,681,1095,2024-07-10,2024-07-12,2024-07-13,10.30,5140688932421349,MC,3
83,111,283,2024-07-31,2024-08-05,2024-08-06,8.56,5371609375182839,MC,5
84,649,301,2024-09-06,2024-09-12,2024-09-13,6.83,5209431687473722,MC,2
85,1084,106,2025-05-24,2025-05-25,2025-05-26,8.52,4861234656884300,VS,5
86,1183,679,2024-12-21,2024-12-23,2024-12-24,4.28,346079270171859,AX,2
87,123,863,2025-02-13,2025-02-15,2025-02-16,7.98,5312864213653198,MC,4
88,145,1056,2024-09-15,2024-09-16,2024-09-17,8.05,377376602082706,AX,4
89,1034,849,2024-03-12,2024-03-14,2024-03-15,6.80,4362673329227172,VS,5
90,573,959,2024-08-15,2024-08-18,2024-08-19,4.42,4552414514749199,VS,4
91,1060,684,2024-09-06,2024-09-08,2024-09-09,3.79,373355778084340,AX,3
92,94,1044,2024-04-23,2024-04-26,2024-04-27,6.85,378009908373458,AX,5
93,829,641,2024-02-01,2024-02-05,2024-02-06,4.12,4966657968853580,VS,1
94,452,772,2025-05-02,2025-05-05,2025-05-06,8.38,4849744060408364,VS,5
95,684,242,2024-01-05,2024-01-11,2024-01-12,9.79,341419900861423,AX,1
96,27,24,2025-05-09,2025-05-14,2025-05-15,8.27,4224052618443585,VS,4
97,674,1167,2024-02-09,2024-02-13,2024-02-14,5.32,4844703395080275,VS,1
98,262,785,2024-07-21,2024-07-22,2024-07-23,3.42,5315998816853622,MC,1
99,152,852,2024-11-27,2024-12-02,2024-12-03,5.94,5352355827491174,MC,5
100,958,784,2025-04-12,2025-04-15,2025-04-16,6.15,4513634814055320,VS,3
101,503,179,2024-06-05,2024-06-10,2024-06-11,6.38,348247745399341,AX,5
102,795,921,2024-11-28,2024-11-30,2024-12-01,5.71,5197335268024170,MC,4
103,747,1054,2024-07-22,2024-07-28,2024-07-29,6.00,5100871753297550,MC,2
104,185,1010,2024-02-17,2024-02-18,2024-02-19,6.53,371766386413554,AX,5
105,694,1141,2025-02-13,2025-02-16,2025-02-17,9.65,371210274769921,AX,2
106,628,814,2024-03-12,2024-03-13,2024-03-14,3.42,4926811460913040,VS,3
107,1197,125,2025-04-15,2025-04-20,2025-04-21,5.62,5159439467094379,MC,2
108,909,1170,2024-12-09,2024-12-13,2024-12-14,8.28,5185116669100588,MC,4
109,792,510,2025-02-10,2025-02-12,2025-02-13,3.75,4342055384940964,VS,1
110,434,927,2024-11-21,2024-11-23,2024-11-24,8.32,4328910671423705,VS,2
111,55,38,2024-09-18,2024-09-23,2024-09-24,8.31,4321002858499318,VS,1
112,740,549,2024-01-30,2024-01-31,2024-02-01,5.27,4063460586859458,VS,3
113,112,1015,2024-03-20,2024-03-22,2024-03-23,5.08,373407729403046,AX,2
114,156,419,2024-12-04,2024-12-10,2024-12-11,3.54,345667353086105,AX,4
115,1144,1035,2024-09-26,2024-09-28,2024-09-29,7.84,4408539211661696,VS,2
116,362,518,2024-08-01,2024-08-02,2024-08-03,6.47,374517621463400,AX,5
117,975,17,2024-10-22,2024-10-27,2024-10-28,5.75,5316344222968649,MC,5
118,41,176,2024-01-20,2024-01-22,2024-01-23,5.62,340506411523072,AX,3
119,544,998,2025-04-21,2025-04-24,2025-04-25,11.28,5459214353777205,MC,3
120,675,592,2024-10-21,2024-10-22,2024-10-23,5.92,4706112330260974,VS,2
121,556,997,2025-02-19,2025-02-24,2025-02-25,3.18,345611250814238,AX,4
122,780,906,2024-09-17,2024-09-22,2024-09-23,9.23,5125209577882625,MC,4
123,147,642,2024-03-07,2024-03-11,2024-03-12,7.05,373554071832736,AX,4
124,654,186,2024-09-24,2024-09-27,2024-09-28,4.71,341709347572091,AX,1
125,91,89,2025-01-29,2025-01-31,2025-02-01,9.32,349890850483496,AX,2
126,561,415,2025-02-09,2025-02-14,2025-02-15,6.29,5148290163040449,MC,4
127,805,935,2024-02-27,2024-02-29,2024-03-01,6.15,4350096943624031,VS,2
